Day,Country,Value
2020-04-17,France,753
2020-04-18,France,760
2020-04-19,France,635
2020-04-20,France,395
2020-04-21,France,544
2020-04-22,France,530
2020-04-23,France,544
2020-04-24,France,516
2020-04-25,France,389
2020-04-26,France,368
2020-04-27,France,241
2020-04-28,France,440
2020-04-29,France,366
2020-04-30,France,427
2020-05-01,France,288
2020-05-02,France,218
2020-05-03,France,164
2020-05-04,France,135
2020-05-05,France,306
2020-05-06,France,326
2020-04-17,Italy,525
2020-04-18,Italy,575
2020-04-19,Italy,480
2020-04-20,Italy,433
2020-04-21,Italy,454
2020-04-22,Italy,534
2020-04-23,Italy,437
2020-04-24,Italy,464
2020-04-25,Italy,420
2020-04-26,Italy,415
2020-04-27,Italy,260
2020-04-28,Italy,333
2020-04-29,Italy,382
2020-04-30,Italy,323
2020-05-01,Italy,285
2020-05-02,Italy,269
2020-05-03,Italy,474
2020-05-04,Italy,174
2020-05-05,Italy,195
2020-05-06,Italy,236
2020-04-17,Spain,551
2020-04-18,Spain,348
2020-04-19,Spain,565
2020-04-20,Spain,410
2020-04-21,Spain,399
2020-04-22,Spain,430
2020-04-23,Spain,435
2020-04-24,Spain,440
2020-04-25,Spain,367
2020-04-26,Spain,0
2020-04-27,Spain,666
2020-04-28,Spain,0
2020-04-29,Spain,632
2020-04-30,Spain,453
2020-05-01,Spain,268
2020-05-02,Spain,281
2020-05-03,Spain,276
2020-05-04,Spain,164
2020-05-05,Spain,164
2020-05-06,Spain,185
2020-04-17,UK,861
2020-04-18,UK,847
2020-04-19,UK,888
2020-04-20,UK,596
2020-04-21,UK,449
2020-04-22,UK,828
2020-04-23,UK,763
2020-04-24,UK,638
2020-04-25,UK,768
2020-04-26,UK,813
2020-04-27,UK,413
2020-04-28,UK,360
2020-04-29,UK,586
2020-04-30,UK,4419
2020-05-01,UK,674
2020-05-02,UK,739
2020-05-03,UK,621
2020-05-04,UK,315
2020-05-05,UK,288
2020-05-06,UK,693
2020-04-17,USA,2350
2020-04-18,USA,2163
2020-04-19,USA,2043
2020-04-20,USA,1776
2020-04-21,USA,1681
2020-04-22,USA,1718
2020-04-23,USA,2471
2020-04-24,USA,2238
2020-04-25,USA,1742
2020-04-26,USA,2151
2020-04-27,USA,1776
2020-04-28,USA,1190
2020-04-29,USA,1322
2020-04-30,USA,1936
2020-05-01,USA,2909
2020-05-02,USA,2069
2020-05-03,USA,5000
2020-05-04,USA,-1696
2020-05-05,USA,1196
2020-05-06,USA,792
